"atlas_block","sr_total","sr_Atlas1","sr_Atlas2","sr_diff","sr_diff_z"
"4409132CE",100,79,84,5,-0.837233946148122
"4409133CE",103,74,91,17,-0.482413959693343
"4409134CE",86,68,77,9,-0.718960617329862
"4409135CE",86,70,80,10,-0.689392285125297
"4409136CE",91,73,87,14,-0.571118956307038
"4409137CE",92,75,85,10,-0.689392285125297
"4409142CE",89,71,79,8,-0.748528949534427
"4409143CE",92,72,81,9,-0.718960617329862
"4409147CE",112,97,101,4,-0.866802278352687
"4409151CE",106,81,92,11,-0.659823952920732
"4409152CE",92,70,83,13,-0.600687288511602
"4409154CE",88,64,82,18,-0.452845627488778
"4409155CE",93,71,82,11,-0.659823952920732
"4409156CE",92,74,86,12,-0.630255620716167
"4409157CE",83,71,71,0,-0.985075607170946
"4409158CE",79,64,65,1,-0.955507274966381
"4409161CE",123,89,113,24,-0.275435634261389
"4409161NE",93,74,82,8,-0.748528949534427
"4409163CE",91,69,84,15,-0.541550624102473
"4409164CE",108,79,89,10,-0.689392285125297
"4409165CE",94,75,69,-6,-1.16248560039834
"4409166CE",121,103,109,6,-0.807665613943557
"4409167CE",108,89,91,2,-0.925938942761816
"4409168CE",106,73,96,23,-0.305003966465954
"4409171CE",103,80,88,8,-0.748528949534427
"4409172CE",108,82,97,15,-0.541550624102473
"4409173CE",121,95,108,13,-0.600687288511602
"4409175CE",131,77,123,46,0.375067674239039
"4409177CE",109,74,106,32,-0.0388889766248696
"4409178CE",97,73,89,16,-0.511982291897908
"4409181CE",89,70,82,12,-0.630255620716167
"4409182CE",90,71,77,6,-0.807665613943557
"4409186CE",87,71,66,-5,-1.13291726819377
"4409188CE",134,79,126,47,0.404636006443604
"4409241CE",102,80,82,2,-0.925938942761816
"4409241NW",119,98,107,9,-0.718960617329862
"4409241SE",101,76,86,10,-0.689392285125297
"4409251CE",127,86,122,36,0.07938435219339
"4409252CE",107,80,93,13,-0.600687288511602
"4409253CE",93,75,84,9,-0.718960617329862
"4409261CE",86,70,75,5,-0.837233946148122
"4409262CE",77,64,69,5,-0.837233946148122
"4409263CE",79,65,72,7,-0.778097281738992
"4409264CE",75,60,67,7,-0.778097281738992
"4409265CE",86,62,84,22,-0.334572298670519
"4409266CE",83,65,78,13,-0.600687288511602
