"atlas_block","sr_total","sr_Atlas1","sr_Atlas2","sr_diff","sr_diff_z"
"4308833SE",66,45,44,-1,-1.01464393937551
"4308833SW",59,6,58,52,0.552477667466428
"4308834CE",87,73,74,1,-0.955507274966381
"4308834CW",49,9,46,37,0.108952684397955
"4308834NE",4,3,1,-2,-1.04421227158008
"4308834NW",66,52,53,1,-0.955507274966381
"4308834SE",35,17,23,6,-0.807665613943557
"4308834SW",58,12,50,38,0.13852101660252
"4308835CE",111,59,108,49,0.463772670852734
"4308835CW",127,18,125,107,2.1787359387175
"4308835NW",60,5,59,54,0.611614331875558
"4308835SE",39,1,39,38,0.13852101660252
"4308836CE",90,55,86,31,-0.0684573088294345
"4308836NE",35,3,34,31,-0.0684573088294345
"4308836NW",58,2,58,56,0.670750996284688
"4308837CE",92,68,83,15,-0.541550624102473
"4308837CW",10,1,9,8,-0.748528949534427
"4308837NE",37,6,36,30,-0.0980256410339994
"4308837NW",128,1,128,127,2.7701025828088
"4308837SW",101,12,100,88,1.61693762683076
"4308838CE",91,54,90,36,0.07938435219339
"4308838NE",46,1,46,45,0.345499342034474
"4308838SE",46,1,45,44,0.315931009829909
"4308841CE",150,90,144,54,0.611614331875558
"4308841CW",91,1,91,90,1.67607429123989
"4308841NE",61,7,60,53,0.582045999670993
"4308841NW",44,1,44,43,0.286362677625344
"4308841SE",173,108,167,59,0.759455992898383
"4308841SW",46,2,44,42,0.256794345420779
"4308842CE",112,86,100,14,-0.571118956307038
"4308842CW",88,34,83,49,0.463772670852734
"4308842NW",48,3,47,44,0.315931009829909
"4308842SW",72,2,70,68,1.02557098273947
"4308843CE",107,81,93,12,-0.630255620716167
"4308843CW",61,4,61,57,0.700319328489253
"4308843NE",100,7,100,93,1.76477928785359
"4308843NW",58,17,53,36,0.07938435219339
"4308843SE",47,1,47,46,0.375067674239039
"4308843SW",68,21,65,44,0.315931009829909
"4308844CE",95,67,88,21,-0.364140630875083
"4308844CW",47,1,47,46,0.375067674239039
"4308844NE",74,54,47,-7,-1.1920539326029
"4308844NW",47,1,47,46,0.375067674239039
"4308844SE",48,20,40,20,-0.393708963079648
"4308844SW",51,3,49,46,0.375067674239039
"4308845CE",96,63,92,29,-0.127593973238564
"4308845CW",66,2,65,63,0.877729321716642
"4308845NW",169,4,169,165,3.89369920658226
"4308845SE",60,13,58,45,0.345499342034474
"4308845SW",65,3,65,62,0.848160989512077
"4308846CE",113,75,109,34,0.0202476877842602
"4308846CW",42,2,41,39,0.168089348807085
"4308847CE",126,71,121,50,0.493341003057298
"4308847NE",84,1,83,82,1.43952763360337
"4308847NW",17,1,17,16,-0.511982291897908
"4308848CE",113,58,106,48,0.434204338648169
"4308848CW",51,4,50,46,0.375067674239039
"4308848SE",55,1,55,54,0.611614331875558
"4308851CE",89,61,88,27,-0.186730637647694
"4308851NW",55,7,52,45,0.345499342034474
"4308851SE",88,22,85,63,0.877729321716642
"4308851SW",87,69,72,3,-0.896370610557251
"4308852CE",131,114,110,-4,-1.10334893598921
"4308852CW",50,2,49,47,0.404636006443604
"4308852NE",157,110,149,39,0.168089348807085
"4308852NW",118,90,100,10,-0.689392285125297
"4308852SE",48,22,42,20,-0.393708963079648
"4308852SW",113,41,112,71,1.11427597935316
"4308853CE",88,64,77,13,-0.600687288511602
"4308853CW",60,7,59,52,0.552477667466428
"4308853NE",92,8,91,83,1.46909596580794
"4308853NW",66,4,65,61,0.818592657307512
"4308853SE",42,42,2,-40,-2.16780889535354
"4308853SW",67,9,64,55,0.641182664080123
"4308854CE",98,85,84,-1,-1.01464393937551
"4308854CW",43,6,41,35,0.0498160199888251
"4308854NW",54,1,53,52,0.552477667466428
"4308854SE",88,65,58,-7,-1.1920539326029
"4308854SW",57,4,56,52,0.552477667466428
"4308855CE",93,41,89,48,0.434204338648169
"4308855CW",123,73,118,45,0.345499342034474
"4308855NE",33,1,33,32,-0.0388889766248696
"4308855NW",123,5,123,118,2.50398759296771
"4308855SE",112,2,111,109,2.23787260312663
"4308855SW",152,57,152,95,1.82391595226272
"4308856CE",108,30,108,78,1.32125430478512
"4308856CW",76,1,75,74,1.20298097596686
"4308856NE",191,66,190,124,2.6813975861951
"4308856SE",144,52,144,92,1.73521095564902
"4308857CE",127,67,123,56,0.670750996284688
"4308857NW",29,2,28,26,-0.216298969852259
"4308857SE",63,3,63,60,0.789024325102947
"4308857SW",63,2,63,61,0.818592657307512
"4308858CE",107,57,106,49,0.463772670852734
"4308858SE",29,1,28,27,-0.186730637647694
"4308861CE",112,84,107,23,-0.305003966465954
"4308861CW",113,1,113,112,2.32657759974032
"4308861NW",105,7,105,98,1.91262094887641
