atlas_block,checklists_total,checklists_Atlas1,checklists_Atlas2,checklists_diff,sr_total,sr_Atlas1,sr_Atlas2,sr_diff
4409285CE,39,21,18,-3,88,74,76,2
4409285CW,36,3,33,30,60,3,60,57
4409285NW,25,5,20,15,107,5,107,102
4409286CE,78,8,70,62,93,69,88,19
4409286NW,17,2,15,13,45,1,44,43
4409286SE,18,6,12,6,50,3,49,46
4508628NW,126,71,55,-16,120,94,98,4
4508638CE,6,1,5,4,3,1,3,2
4508638CW,50,22,28,6,107,27,104,77
4508638NE,300,3,297,294,143,4,143,139
4508638NW,182,9,173,164,160,14,160,146
4508638SE,5,2,3,1,10,3,9,6
4508638SW,167,79,88,9,128,78,118,40
4508647CE,3,2,1,-1,16,10,8,-2
4508647CW,56,4,52,48,58,19,55,36
4508647SE,9,2,7,5,37,18,31,13
4508647SW,229,11,218,207,165,47,164,117
4508648SE,214,8,206,198,118,12,116,104
4508648SW,31,2,29,27,73,2,72,70
4508711CW,284,48,236,188,138,80,134,54
4508711NE,48,9,39,30,83,34,81,47
4508711NW,194,8,186,178,134,37,134,97
4508712CE,149,53,96,43,132,76,127,51
4508712CW,33,2,31,29,81,2,80,78
4508712NE,18,1,17,16,70,1,70,69
4508712NW,30,3,27,24,83,5,81,76
4508712SE,194,24,170,146,130,102,108,6
4508712SW,76,35,41,6,117,50,113,63
4508713CE,80,22,58,36,126,74,110,36
4508713SE,7,1,6,5,49,1,48,47
4508715CW,74,2,72,70,128,2,128,126
4508715NW,133,1,132,131,99,1,99,98
4508716CE,97,20,77,57,109,81,94,13
4508716SW,48,1,47,46,58,1,57,56
4508717CE,131,6,125,119,124,80,116,36
4508717NE,129,2,127,125,47,6,44,38
4508718CE,53,7,46,39,98,51,95,44
4508721CE,9,1,8,7,47,1,46,45
4508721CW,93,8,85,77,113,9,113,104
4508721NE,181,64,117,53,148,100,139,39
4508721NW,24,1,23,22,90,1,90,89
4508721SE,4,1,3,2,53,2,52,50
4508721SW,32,4,28,24,89,7,87,80
4508722CE,57,3,54,51,90,4,90,86
4508722SE,155,46,109,63,121,66,114,48
4508722SW,286,68,218,150,158,92,150,58
4508723CW,149,1,148,147,105,3,105,102
4508723SE,5,1,4,3,21,1,21,20
4508727CE,97,7,90,83,117,69,112,43
4508727NW,25,1,24,23,99,1,98,97
4508728CE,61,7,54,47,102,63,94,31
4508731CE,8,1,7,6,29,1,29,28
4508731SE,117,17,100,83,123,16,121,105
4508731SW,27,8,19,11,59,12,54,42
4508737CE,65,4,61,57,105,65,99,34
4508737CW,3,1,2,1,5,1,4,3
4508737SE,11,7,4,-3,83,80,35,-45
4508738CE,26,9,17,8,107,85,86,1
4508747NW,63,3,60,57,92,46,86,40
4508748CE,23,9,14,5,106,85,83,-2
4508748NE,33,3,30,27,72,63,48,-15
4508748SW,5,1,4,3,19,1,18,17
4508757CW,91,6,85,79,98,66,90,24
4508757SW,53,2,51,49,67,35,60,25
4508758CE,90,2,88,86,101,56,97,41
4508758CW,4,2,2,0,14,2,12,10
4508758NW,62,4,58,54,91,72,81,9
4508767CE,25,2,23,21,80,23,78,55
4508767SW,9,2,7,5,50,24,39,15
4508768CE,48,14,34,20,102,84,85,1
4508768CW,18,1,17,16,51,1,50,49
4508768NE,231,2,229,227,99,58,90,32
4508768SE,70,22,48,26,98,29,98,69
4508768SW,54,3,51,48,72,51,61,10
4508811CE,74,7,67,60,103,57,98,41
4508811CW,2,1,1,0,2,1,1,0
4508812CE,72,7,65,58,115,52,113,61
4508812NW,9,3,6,3,52,18,45,27
4508813CE,54,8,46,38,113,71,105,34
4508813NW,10,1,9,8,55,21,47,26
4508814CE,64,7,57,50,106,94,91,-3
4508814NE,4,1,3,2,28,22,11,-11
4508815CE,49,7,42,35,105,85,81,-4
4508815CW,2,1,1,0,2,1,1,0
4508815NE,3,2,1,-1,22,4,18,14
4508815NW,5,1,4,3,32,2,31,29
4508815SE,2,1,1,0,13,1,13,12
4508816CE,43,10,33,23,96,74,86,12
4508816CW,7,1,6,5,3,1,2,1
4508817CE,37,7,30,23,98,81,79,-2
4508818CE,37,7,30,23,96,70,88,18
4508818CW,4,1,3,2,16,1,15,14
4508818NW,7,1,6,5,47,1,46,45
4508821CE,61,8,53,45,99,74,91,17
4508821NW,3,1,2,1,2,1,2,1
4508822CE,43,17,26,9,100,79,78,-1
4508822NE,10,2,8,6,39,1,38,37
4508822SE,11,1,10,9,35,1,34,33
4508822SW,3,2,1,-1,18,17,1,-16
4508823CE,69,9,60,51,89,63,80,17
4508823CW,11,1,10,9,46,34,33,-1
4508823NW,8,1,7,6,63,14,60,46
4508823SE,19,11,8,-3,59,51,39,-12
4508823SW,2,1,1,0,38,37,9,-28
4508824CE,75,18,57,39,102,79,88,9
4508824CW,30,2,28,26,111,19,110,91
4508824NE,9,3,6,3,56,44,25,-19
4508824NW,27,1,26,25,75,19,73,54
4508824SE,68,1,67,66,64,18,60,42
4508824SW,7,3,4,1,48,14,38,24
4508825CE,52,33,19,-14,107,100,82,-18
4508825CW,13,1,12,11,67,1,67,66
4508825NE,7,1,6,5,52,10,51,41
4508825NW,85,45,40,-5,129,110,104,-6
4508825SE,8,1,7,6,42,29,34,5
4508825SW,5,3,2,-1,42,21,31,10
4508826CE,25,6,19,13,105,82,82,0
4508826CW,31,5,26,21,97,79,50,-29
4508826NE,12,1,11,10,49,15,48,33
4508826NW,14,1,13,12,52,25,42,17
4508826SE,22,1,21,20,71,1,70,69
4508827CE,50,7,43,36,106,89,86,-3
4508827SE,46,5,41,36,70,16,65,49
4508828CE,86,38,48,10,122,89,108,19
4508828CW,8,2,6,4,45,3,44,41
4508828NW,2,1,1,0,3,1,2,1
4508828SE,10,5,5,0,54,34,39,5
4508828SW,5,2,3,1,56,37,35,-2
4508831CE,28,6,22,16,114,77,105,28
4508832CE,32,8,24,16,97,78,85,7
4508833CE,71,6,65,59,103,83,89,6
4508833CW,17,3,14,11,60,31,54,23
4508833NW,23,3,20,17,46,21,43,22
4508833SE,10,2,8,6,23,6,18,12
4508833SW,12,1,11,10,47,31,38,7
4508834CE,125,7,118,111,103,79,90,11
4508834CW,11,4,7,3,52,45,26,-19
4508834NE,6,1,5,4,24,2,23,21
4508834NW,12,1,11,10,55,1,55,54
4508834SW,11,3,8,5,42,26,32,6
4508835CE,77,9,68,59,107,90,98,8
4508835CW,24,5,19,14,70,28,64,36
4508835NW,32,2,30,28,98,18,97,79
4508835SE,27,5,22,17,63,16,60,44
4508835SW,26,5,21,16,72,14,72,58
4508836CE,118,74,44,-30,124,95,91,-4
4508836CW,46,1,45,44,71,25,64,39
4508836NE,61,1,60,59,47,20,47,27
4508836NW,20,1,19,18,48,11,47,36
4508836SE,17,1,16,15,50,12,42,30
4508837CE,20,6,14,8,84,60,61,1
4508837CW,26,21,5,-16,96,90,40,-50
4508837SE,15,1,14,13,30,6,25,19
4508837SW,7,1,6,5,53,1,52,51
4508838CE,35,7,28,21,96,76,82,6
4508838NW,16,1,15,14,56,1,55,54
4508841CE,31,7,24,17,95,82,71,-11
4508841CW,9,1,8,7,46,2,44,42
4508842CE,21,6,15,9,98,75,86,11
4508843CE,21,7,14,7,87,78,73,-5
4508843NE,12,1,11,10,43,1,42,41
4508843NW,7,1,6,5,53,41,28,-13
4508844CE,17,5,12,7,96,79,86,7
4508844CW,16,5,11,6,81,73,45,-28
4508844NW,10,2,8,6,51,42,31,-11
4508844SW,19,1,18,17,78,27,73,46
4508845CE,75,7,68,61,108,70,104,34
4508845CW,7,1,6,5,30,9,29,20
4508845NE,13,2,11,9,40,13,40,27
4508845SW,11,2,9,7,60,21,55,34
4508846CE,80,7,73,66,104,74,96,22
4508846CW,32,1,31,30,83,23,80,57
4508846NE,13,5,8,3,66,39,56,17
4508846NW,6,1,5,4,26,17,17,0
4508846SE,8,1,7,6,44,24,37,13
4508846SW,16,1,15,14,90,29,88,59
4508847CE,180,15,165,150,105,87,88,1
4508847NE,56,2,54,52,66,25,61,36
4508847SE,22,1,21,20,75,7,75,68
4508847SW,23,1,22,21,82,1,82,81
4508848CE,17,5,12,7,88,77,74,-3
4508851CE,75,9,66,57,123,90,113,23
4508851NW,26,1,25,24,73,1,73,72
4508851SE,28,1,27,26,60,27,57,30
4508851SW,43,3,40,37,79,63,67,4
4508852CE,232,7,225,218,108,82,95,13
4508852SE,49,3,46,43,76,64,62,-2
4508852SW,40,1,39,38,59,34,55,21
4508853CE,26,5,21,16,97,68,90,22
4508853NE,2,1,1,0,2,1,1,0
4508853SE,41,1,40,39,58,28,55,27
4508853SW,72,6,66,60,88,75,75,0
4508854CE,20,4,16,12,82,44,80,36
4508854CW,23,4,19,15,66,61,32,-29
4508854NW,15,3,12,9,42,29,33,4
4508854SE,55,6,49,43,83,68,63,-5
4508854SW,34,3,31,28,63,39,58,19
4508855CE,67,5,62,57,78,52,69,17
4508855CW,2,1,1,0,22,16,10,-6
4508855NE,33,2,31,29,36,21,31,10
4508855NW,68,7,61,54,65,58,43,-15
4508855SE,4,2,2,0,46,45,15,-30
4508855SW,14,3,11,8,69,52,46,-6
4508856CE,46,8,38,30,102,66,92,26
4508856NE,48,2,46,44,68,11,64,53
4508856NW,7,1,6,5,37,10,37,27
4508856SE,2,1,1,0,3,1,3,2
4508856SW,21,3,18,15,54,25,44,19
4508857CE,32,6,26,20,86,59,78,19
4508857CW,47,1,46,45,64,29,57,28
4508857SE,3,1,2,1,22,1,22,21
4508857SW,61,1,60,59,65,1,65,64
4508858CE,118,6,112,106,117,77,107,30
4508858NE,3,1,2,1,5,2,3,1
4508858SW,7,1,6,5,41,5,36,31
4508861CE,57,5,52,47,97,85,77,-8
4508861NE,14,1,13,12,52,1,51,50
4508861NW,621,21,600,579,152,84,148,64
4508861SE,13,2,11,9,33,2,32,30
4508862CE,55,6,49,43,106,83,89,6
4508862CW,16,2,14,12,50,7,49,42
4508862SE,16,1,15,14,64,2,64,62
4508862SW,9,1,8,7,34,1,33,32
4508863CE,48,25,23,-2,108,95,93,-2
4508863CW,14,2,12,10,59,24,52,28
4508863NE,13,1,12,11,45,1,44,43
4508863SE,47,3,44,41,91,60,82,22
4508863SW,14,1,13,12,64,13,63,50
4508864CE,48,4,44,40,98,82,86,4
4508864CW,15,1,14,13,63,8,59,51
4508865CE,48,8,40,32,102,81,87,6
4508865CW,11,2,9,7,51,35,32,-3
4508865NE,6,1,5,4,23,14,16,2
4508865NW,7,2,5,3,36,28,20,-8
4508865SE,10,1,9,8,44,1,43,42
4508865SW,10,2,8,6,35,15,29,14
4508866CE,53,23,30,7,97,76,77,1
4508866NE,14,2,12,10,44,17,42,25
4508866SW,38,1,37,36,52,5,50,45
4508867CE,35,4,31,27,86,54,77,23
4508867NE,8,1,7,6,29,13,27,14
4508867SW,12,1,11,10,30,10,23,13
4508868CE,47,13,34,21,99,84,80,-4
4508868CW,26,3,23,20,77,50,62,12
4508868NE,11,1,10,9,48,23,39,16
4508868NW,8,3,5,2,37,22,29,7
4508868SE,14,1,13,12,80,39,72,33
4508868SW,52,2,50,48,74,12,71,59
4508871NW,18,3,15,12,71,3,70,67
4508871SW,95,2,93,91,114,2,114,112
4508872CE,80,16,64,48,110,83,102,19
4508872NE,39,2,37,35,91,3,90,87
4508872NW,28,9,19,10,87,65,74,9
4508873CE,51,6,45,39,93,55,91,36
4508873CW,11,4,7,3,69,58,39,-19
4508873NW,13,1,12,11,73,1,73,72
4508873SE,17,1,16,15,64,27,52,25
4508873SW,17,2,15,13,56,23,53,30
4508874CE,59,2,57,55,96,46,91,45
4508874SW,18,1,17,16,72,14,71,57
4508875CE,23,3,20,17,85,58,73,15
4508875CW,48,4,44,40,50,29,45,16
4508875NE,7,3,4,1,57,16,57,41
4508875NW,12,4,8,4,62,55,42,-13
4508875SE,56,4,52,48,67,57,51,-6
4508875SW,35,6,29,23,72,67,45,-22
4508876CE,96,6,90,84,97,71,89,18
4508876CW,44,39,5,-34,56,50,22,-28
4508876NE,50,5,45,40,92,71,73,2
4508876NW,51,2,49,47,66,27,63,36
4508876SE,6,2,4,2,35,21,25,4
4508876SW,12,2,10,8,40,29,34,5
4508877CE,46,19,27,8,90,69,79,10
4508877CW,6,2,4,2,40,22,27,5
4508877NE,40,1,39,38,56,20,51,31
4508877NW,51,2,49,47,51,16,50,34
4508877SE,5,2,3,1,39,37,9,-28
4508877SW,8,3,5,2,36,22,24,2
4508878CE,46,10,36,26,94,66,90,24
4508878CW,25,3,22,19,74,23,71,48
4508878NE,17,2,15,13,46,41,12,-29
4508878NW,7,1,6,5,36,15,31,16
4508878SE,8,4,4,0,33,21,21,0
4508878SW,22,2,20,18,69,43,61,18
4508881SW,36,2,34,32,91,62,81,19
4508882CE,50,7,43,36,99,73,92,19
4508882CW,21,3,18,15,76,34,70,36
4508882SE,27,3,24,21,66,30,62,32
4508882SW,54,2,52,50,63,16,63,47
4508883CE,125,46,79,33,134,112,112,0
4508883CW,36,1,35,34,79,1,79,78
4508883SE,22,2,20,18,50,9,49,40
4508883SW,17,1,16,15,40,1,40,39
4508884CE,47,22,25,3,106,81,93,12
4508884CW,20,5,15,10,65,55,40,-15
4508884NE,12,2,10,8,67,47,51,4
4508884NW,7,3,4,1,44,36,33,-3
4508884SE,13,2,11,9,46,18,42,24
4508884SW,25,2,23,21,64,18,62,44
4508885CE,50,5,45,40,87,60,80,20
4508885CW,29,3,26,23,59,17,57,40
4508885NE,22,5,17,12,72,59,39,-20
4508885NW,8,2,6,4,43,34,25,-9
4508885SE,47,19,28,9,102,65,87,22
4508885SW,12,6,6,0,59,43,39,-4
4508886CE,31,3,28,25,95,57,83,26
4508886CW,11,2,9,7,61,37,48,11
4508886NE,17,3,14,11,43,20,37,17
4508886NW,47,39,8,-31,62,47,48,1
4508886SE,12,2,10,8,51,21,46,25
4508886SW,7,5,2,-3,59,58,11,-47
4508887CE,106,56,50,-6,88,78,70,-8
4508887CW,64,2,62,60,75,26,74,48
4508887NE,16,3,13,10,70,26,68,42
4508887NW,42,32,10,-22,63,44,39,-5
4508887SE,9,3,6,3,38,33,24,-9
4508887SW,5,1,4,3,14,8,9,1
4508888CE,71,13,58,45,100,86,79,-7
4508888CW,20,2,18,16,61,22,55,33
4508888NE,9,2,7,5,52,31,42,11
4508888NW,2,1,1,0,34,20,22,2
4508888SE,9,1,8,7,32,10,31,21
4508888SW,8,3,5,2,50,32,37,5
4508911CE,50,8,42,34,110,92,92,0
4508911CW,3,1,2,1,21,1,20,19
4508911NE,23,22,1,-21,47,34,21,-13
4508911NW,10,5,5,0,47,4,43,39
4508911SW,7,1,6,5,47,1,46,45
4508912CE,38,7,31,24,106,92,83,-9
4508912NW,7,1,6,5,39,1,38,37
4508912SE,2,1,1,0,9,1,8,7
4508913CE,25,6,19,13,113,102,93,-9
4508913SW,12,2,10,8,68,2,66,64
4508914CE,44,19,25,6,106,98,86,-12
4508915CE,46,12,34,22,104,78,99,21
4508916CE,82,11,71,60,106,69,99,30
4508917CE,61,24,37,13,96,77,82,5
4508918CE,58,19,39,20,98,85,83,-2
4508921CE,21,5,16,11,85,69,74,5
4508921SE,6,1,5,4,33,1,32,31
4508922CE,39,9,30,21,88,67,75,8
4508922SE,15,7,8,1,41,8,38,30
4508923CE,31,7,24,17,123,90,104,14
4508923NE,12,1,11,10,64,26,46,20
4508924CE,15,5,10,5,90,71,80,9
4508924NW,17,3,14,11,23,2,21,19
4508924SE,21,3,18,15,78,11,71,60
4508924SW,3,1,2,1,12,1,11,10
4508925CE,37,4,33,29,109,70,107,37
4508926CE,50,9,41,32,102,71,94,23
4508926CW,14,3,11,8,50,4,49,45
4508926NW,47,31,16,-15,60,54,24,-30
4508927CE,39,13,26,13,100,83,85,2
4508927NE,10,2,8,6,43,2,41,39
4508928CE,18,3,15,12,93,76,75,-1
4508928CW,5,1,4,3,25,1,24,23
4508931CE,29,7,22,15,95,85,70,-15
4508932CE,42,11,31,20,106,86,88,2
4508932SE,2,1,1,0,4,1,3,2
4508933CE,24,8,16,8,96,75,87,12
4508933NW,8,3,5,2,35,2,34,32
4508934CE,45,4,41,37,104,88,93,5
4508935CE,55,6,49,43,107,80,99,19
4508936CE,55,6,49,43,115,84,108,24
4508936CW,2,1,1,0,2,1,1,0
4508937CE,44,6,38,32,99,77,87,10
4508938CE,29,8,21,13,94,71,86,15
4508941CE,39,8,31,23,111,95,91,-4
4508941CW,9,1,8,7,44,1,44,43
4508941SW,2,1,1,0,17,2,15,13
4508942CE,51,9,42,33,115,89,98,9
4508942SW,22,18,4,-14,29,24,6,-18
4508943CE,28,10,18,8,106,89,83,-6
4508943SE,10,1,9,8,41,1,41,40
4508944CE,37,6,31,25,103,83,88,5
4508944SE,7,1,6,5,37,1,37,36
4508945CE,66,9,57,48,92,65,86,21
4508945CW,62,2,60,58,78,3,77,74
4508945NE,17,8,9,1,69,12,66,54
4508945NW,55,3,52,49,67,5,66,61
4508945SW,2,1,1,0,25,1,24,23
4508946CE,64,19,45,26,114,85,99,14
4508946NE,14,6,8,2,68,60,40,-20
4508946SE,57,9,48,39,72,33,68,35
4508946SW,7,1,6,5,9,1,9,8
4508947CE,57,10,47,37,119,88,108,20
4508947CW,6,1,5,4,36,1,35,34
4508948CE,23,7,16,9,111,80,101,21
4508948SE,17,7,10,3,58,55,30,-25
4508951CE,46,20,26,6,108,93,93,0
4508952CE,91,16,75,59,103,86,86,0
4508952SW,14,1,13,12,59,1,59,58
4508953CE,72,14,58,44,105,85,81,-4
4508953SW,8,1,7,6,34,1,33,32
4508954CE,62,16,46,30,110,89,93,4
4508954CW,38,1,37,36,63,1,62,61
4508954NE,31,12,19,7,91,51,82,31
4508955CE,108,32,76,44,100,81,89,8
4508955CW,25,7,18,11,62,47,39,-8
4508955NE,30,1,29,28,52,8,48,40
4508955SE,69,17,52,35,98,83,73,-10
4508955SW,61,29,32,3,87,74,58,-16
4508956CE,74,19,55,36,103,87,82,-5
4508956CW,29,3,26,23,79,44,72,28
4508956NE,20,12,8,-4,77,64,53,-11
4508956SE,46,30,16,-14,93,93,1,-92
4508956SW,35,2,33,31,34,2,33,31
4508957CE,62,24,38,14,113,105,87,-18
4508957SE,4,1,3,2,23,9,21,12
4508958CE,87,20,67,47,105,91,81,-10
4508958CW,2,1,1,0,6,2,4,2
4508961CE,28,15,13,-2,109,95,79,-16
4508961CW,6,1,5,4,27,1,26,25
4508961NE,13,6,7,1,42,23,28,5
4508961SE,17,2,15,13,56,20,52,32
4508962CE,70,17,53,36,114,98,88,-10
4508962NE,36,3,33,30,80,8,79,71
4508962SE,40,4,36,32,71,38,58,20
4508963CE,56,15,41,26,115,96,92,-4
4508963CW,22,2,20,18,41,2,39,37
4508963SW,22,1,21,20,76,1,76,75
4508964CE,121,24,97,73,120,99,99,0
4508964SE,129,3,126,123,104,5,104,99
4508964SW,22,3,19,16,66,3,66,63
4508965CE,120,57,63,6,112,92,97,5
4508965CW,60,1,59,58,83,1,83,82
4508965NW,29,2,27,25,70,1,70,69
4508965SW,23,1,22,21,43,4,39,35
4508966CE,66,15,51,36,119,85,103,18
4508966CW,14,4,10,6,75,32,65,33
4508966NW,7,3,4,1,16,14,4,-10
4508966SW,12,3,9,6,58,16,51,35
4508967CE,69,24,45,21,110,101,85,-16
4508967CW,12,4,8,4,49,4,46,42
4508967NW,19,4,15,11,61,7,61,54
4508967SE,10,2,8,6,52,14,45,31
4508968CE,30,16,14,-2,103,89,89,0
4508968CW,12,4,8,4,46,7,41,34
4508968NE,14,6,8,2,24,4,20,16
4508968NW,3,1,2,1,40,1,39,38
4508968SE,7,2,5,3,26,2,25,23
4508971CE,109,20,89,69,107,91,94,3
4508971CW,12,2,10,8,38,2,37,35
4508971NE,4,3,1,-2,27,21,9,-12
4508971NW,24,2,22,20,48,14,46,32
4508971SE,101,4,97,93,95,53,91,38
4508971SW,12,1,11,10,47,23,36,13
4508972CE,149,23,126,103,112,90,101,11
4508972CW,128,46,82,36,136,107,115,8
4508972NE,98,36,62,26,119,106,77,-29
4508972SE,32,5,27,22,54,10,51,41
4508973CE,104,31,73,42,112,99,92,-7
4508973NW,34,1,33,32,61,1,61,60
4508974CE,78,23,55,32,109,95,85,-10
4508974NE,6,1,5,4,42,1,42,41
4508974SW,17,2,15,13,50,1,50,49
4508975CE,89,15,74,59,100,81,90,9
4508975CW,32,2,30,28,51,2,51,49
4508975NE,40,1,39,38,23,2,22,20
4508975NW,22,3,19,16,52,28,44,16
4508975SW,33,1,32,31,61,1,61,60
4508976CE,95,24,71,47,108,82,97,15
4508976CW,34,1,33,32,56,1,55,54
4508976NE,84,18,66,48,84,27,80,53
4508976NW,24,3,21,18,74,6,72,66
4508976SE,18,2,16,14,44,4,41,37
4508977CE,79,18,61,43,114,99,99,0
4508977CW,23,11,12,1,47,27,35,8
4508977NE,4,1,3,2,3,2,1,-1
4508978CE,47,13,34,21,103,91,79,-12
4508978CW,2,1,1,0,2,1,1,0
4508978NE,13,1,12,11,22,1,22,21
4508978NW,8,1,7,6,35,1,34,33
4508978SW,20,12,8,-4,61,29,52,23
4508981CE,199,117,82,-35,105,100,74,-26
4508981CW,56,36,20,-16,64,46,48,2
4508981NE,18,2,16,14,31,3,28,25
4508981NW,75,2,73,71,84,24,83,59
4508981SE,19,7,12,5,62,42,36,-6
4508981SW,36,6,30,24,86,77,56,-21
4508982CE,148,31,117,86,121,96,98,2
4508982CW,47,6,41,35,66,5,63,58
4508982NE,28,1,27,26,42,1,42,41
4508982NW,42,4,38,34,73,5,73,68
4508982SW,71,13,58,45,69,31,63,32
4508983CE,265,121,144,23,139,135,112,-23
4508983CW,23,12,11,-1,43,17,32,15
4508983NE,15,3,12,9,45,4,42,38
4508983SE,22,3,19,16,59,4,56,52
4508984CE,114,38,76,38,113,105,85,-20
4508984NE,28,2,26,24,46,5,45,40
4508984SE,15,1,14,13,68,1,67,66
4508984SW,9,1,8,7,7,1,6,5
4508985CE,106,37,69,32,101,94,75,-19
4508985NE,19,2,17,15,40,1,39,38
4508985NW,23,1,22,21,49,1,49,48
4508985SW,7,2,5,3,33,16,26,10
4508986CE,63,16,47,31,112,94,90,-4
4508986CW,21,4,17,13,58,4,58,54
4508986SE,33,1,32,31,80,1,80,79
4508986SW,28,4,24,20,47,6,43,37
4508987CE,111,9,102,93,93,76,72,-4
4508987CW,14,1,13,12,37,1,37,36
4508987SE,13,1,12,11,17,1,17,16
4508988CE,101,9,92,83,108,92,80,-12
4508988CW,12,1,11,10,39,1,39,38
4508988NE,18,2,16,14,51,2,50,48
4508988SW,15,1,14,13,51,5,51,46
4509011CE,30,5,25,20,91,67,80,13
4509012CE,30,3,27,24,92,76,85,9
4509012SW,6,1,5,4,35,1,34,33
4509013CE,36,5,31,26,97,68,90,22
4509013CW,6,3,3,0,10,3,7,4
4509013SW,57,47,10,-37,66,51,47,-4
4509014CE,41,6,35,29,97,67,90,23
4509014NE,50,1,49,48,61,1,61,60
4509014SW,10,5,5,0,43,6,38,32
4509015CE,34,5,29,24,111,72,105,33
4509016CE,43,7,36,29,110,88,95,7
4509016NW,10,3,7,4,46,3,46,43
4509017CE,31,7,24,17,96,73,91,18
4509018CE,67,8,59,51,92,66,86,20
4509021CE,17,5,12,7,87,56,76,20
4509021CW,6,1,5,4,45,1,44,43
4509022CE,36,7,29,22,98,79,88,9
4509023CE,85,7,78,71,107,80,95,15
4509023CW,7,1,6,5,46,1,46,45
4509023NE,8,1,7,6,29,1,28,27
4509023SE,7,2,5,3,35,2,33,31
4509023SW,3,2,1,-1,3,2,1,-1
4509024CE,44,7,37,30,103,87,86,-1
4509024CW,10,1,9,8,46,1,45,44
4509025CE,37,15,22,7,96,75,83,8
4509025CW,13,6,7,1,48,5,46,41
4509025NW,4,1,3,2,22,1,21,20
4509025SE,8,1,7,6,42,1,41,40
4509025SW,4,3,1,-2,4,3,1,-2
4509026CE,37,14,23,9,96,62,84,22
4509026CW,22,8,14,6,93,12,92,80
4509026NE,7,1,6,5,34,2,32,30
4509026NW,15,5,10,5,73,7,70,63
4509027CE,32,7,25,18,107,87,94,7
4509027NW,77,13,64,51,118,89,104,15
4509027SE,44,1,43,42,60,1,59,58
4509027SW,2,1,1,0,2,1,1,0
4509028CE,39,5,34,29,86,76,72,-4
4509028CW,11,5,6,1,47,4,44,40
4509028SE,7,1,6,5,42,1,41,40
4509031CE,22,8,14,6,83,67,77,10
4509032CE,88,7,81,74,108,75,104,29
4509032CW,32,1,31,30,60,1,60,59
4509033CE,53,6,47,41,102,77,92,15
4509033SE,5,1,4,3,5,1,4,3
4509034CE,40,14,26,12,95,77,84,7
4509034CW,25,1,24,23,82,1,81,80
4509034NE,33,2,31,29,54,2,52,50
4509034NW,32,1,31,30,66,1,65,64
4509035CE,36,9,27,18,85,68,74,6
4509035SW,8,1,7,6,33,1,32,31
4509036CE,40,13,27,14,90,78,70,-8
4509036SW,6,1,5,4,38,3,35,32
4509037CE,51,7,44,37,106,85,94,9
4509038CE,85,4,81,77,110,78,101,23
4509041CE,47,3,44,41,95,68,86,18
4509042CE,34,7,27,20,98,70,86,16
4509042SE,14,2,12,10,40,2,38,36
4509043CE,52,7,45,38,109,64,107,43
4509043CW,6,1,5,4,38,1,38,37
4509044CE,46,7,39,32,96,72,91,19
4509045CE,50,3,47,44,92,63,82,19
4509045NE,6,1,5,4,39,1,38,37
4509046CE,44,7,37,30,91,77,81,4
4509047CE,26,9,17,8,104,93,87,-6
4509048CE,39,7,32,25,106,79,96,17
4509048NE,6,1,5,4,43,3,42,39
4509051CE,54,7,47,40,107,87,88,1
4509052CE,38,9,29,20,92,69,84,15
4509053CE,31,7,24,17,105,71,97,26
4509053CW,3,2,1,-1,2,1,1,0
4509053NW,10,2,8,6,33,2,33,31
4509053SW,6,1,5,4,31,1,30,29
4509054CE,46,7,39,32,87,66,80,14
4509054CW,22,2,20,18,39,4,37,33
4509054NW,21,2,19,17,83,2,82,80
4509055CE,43,6,37,31,89,68,86,18
4509055SE,2,1,1,0,3,2,1,-1
4509056CE,48,6,42,36,100,66,93,27
4509056CW,11,4,7,3,38,5,35,30
4509056NW,64,1,63,62,94,2,94,92
4509056SE,2,1,1,0,2,1,1,0
4509056SW,11,1,10,9,60,1,60,59
4509057CE,33,7,26,19,96,79,86,7
4509057NE,3,1,2,1,44,1,43,42
4509057SE,6,1,5,4,29,1,29,28
4509058CE,49,11,38,27,111,83,95,12
4509058CW,9,2,7,5,63,34,39,5
4509058NE,18,2,16,14,14,8,6,-2
4509058SW,8,1,7,6,48,5,45,40
4509061CE,32,16,16,0,81,61,69,8
4509061NE,14,9,5,-4,41,33,23,-10
4509061SW,7,6,1,-5,10,8,2,-6
4509062CE,52,18,34,16,99,73,86,13
4509063CE,97,54,43,-11,119,97,102,5
4509063NE,14,3,11,8,42,3,41,38
4509063NW,16,1,15,14,73,1,73,72
4509064CE,118,33,85,52,115,100,99,-1
4509064CW,35,3,32,29,58,3,57,54
4509064NW,5,3,2,-1,4,3,2,-1
4509065CE,90,5,85,80,117,104,97,-7
4509066CE,28,7,21,14,101,84,82,-2
4509066CW,37,1,36,35,58,2,57,55
4509066NE,54,1,53,52,99,1,99,98
4509066SE,19,1,18,17,33,5,29,24
4509066SW,38,3,35,32,69,3,67,64
4509067CE,34,11,23,12,88,72,76,4
4509067NE,8,2,6,4,68,54,43,-11
4509067SE,12,3,9,6,61,43,46,3
4509068CE,31,4,27,23,78,47,69,22
4509071CE,43,22,21,-1,86,75,66,-9
4509071SE,4,3,1,-2,21,17,5,-12
4509072CE,64,20,44,24,102,84,88,4
4509072CW,7,5,2,-3,15,4,11,7
4509072NE,54,25,29,4,108,90,91,1
4509072SE,3,2,1,-1,4,1,3,2
4509073CE,66,17,49,32,97,75,82,7
4509073NE,2,1,1,0,19,1,18,17
