atlas_block,checklists_total,checklists_Atlas1,checklists_Atlas2,checklists_diff,sr_total,sr_Atlas1,sr_Atlas2,sr_diff
4308812NE,12,7,5,-2,44,21,37,16
4308812NW,21,7,14,7,56,6,53,47
4308812SE,22,10,12,2,57,10,53,43
4308812SW,112,82,30,-52,88,61,73,12
4308813CE,99,48,51,3,86,69,70,1
4308813CW,17,2,15,13,65,2,64,62
4308813NE,113,93,20,-73,99,73,74,1
4308813NW,33,14,19,5,86,19,85,66
4308813SE,68,15,53,38,108,12,107,95
4308813SW,31,18,13,-5,57,17,50,33
4308814CE,120,37,83,46,108,60,99,39
4308814CW,13,1,12,11,48,36,28,-8
4308814NE,50,5,45,40,96,5,96,91
4308814NW,25,9,16,7,53,11,50,39
4308814SE,189,123,66,-57,132,79,127,48
4308814SW,36,11,25,14,86,11,82,71
4308815CE,137,58,79,21,104,74,95,21
4308815CW,8,5,3,-2,53,51,5,-46
4308815NE,13,7,6,-1,39,7,37,30
4308815NW,8,1,7,6,32,1,32,31
4308815SE,80,7,73,66,136,9,134,125
4308815SW,59,49,10,-39,69,40,60,20
4308816CE,116,30,86,56,86,70,76,6
4308816NE,2,1,1,0,3,1,2,1
4308816SE,6,1,5,4,25,2,23,21
4308816SW,10,1,9,8,39,1,39,38
4308817CE,108,7,101,94,116,70,112,42
4308817SE,17,2,15,13,38,2,38,36
4308817SW,26,2,24,22,70,1,70,69
4308818CE,450,71,379,308,160,89,157,68
4308818CW,301,89,212,123,171,74,169,95
4308818NE,72,29,43,14,117,62,115,53
4308818NW,39,2,37,35,62,2,62,60
4308818SE,36,2,34,32,64,3,64,61
4308818SW,80,16,64,48,118,54,112,58
4308821CE,293,19,274,255,151,55,150,95
4308821CW,79,19,60,41,104,44,100,56
4308821NE,194,57,137,80,115,52,108,56
4308821NW,42,5,37,32,53,4,51,47
4308821SE,137,63,74,11,109,57,101,44
4308821SW,42,10,32,22,87,28,86,58
4308822CE,107,44,63,19,90,72,77,5
4308822CW,19,9,10,1,50,11,47,36
4308822NE,48,24,24,0,64,50,54,4
4308822NW,7,5,2,-3,29,5,26,21
4308822SE,20,7,13,6,65,11,60,49
4308822SW,9,6,3,-3,18,7,14,7
4308823CE,84,23,61,38,80,68,69,1
4308823CW,127,18,109,91,127,44,123,79
4308823NE,98,66,32,-34,109,100,75,-25
4308823NW,59,47,12,-35,94,84,67,-17
4308823SE,14,1,13,12,43,1,43,42
4308823SW,27,9,18,9,72,16,69,53
4308824CE,87,39,48,9,95,78,74,-4
4308824CW,15,2,13,11,49,2,47,45
4308824NE,45,29,16,-13,75,62,56,-6
