atlas_block,checklists_Atlas2,checklists_Atlas1,checklists_total,mins_Atlas2,mins_Atlas1,mins_total,mins_diff,mins_diff_z,sr_total,sr_Atlas1,sr_Atlas2,sr_diff,sr_diff_z
4208985NE,48,1,49,2287,0,2287,2287,0.688607928632418,81,1,80,79,1.3508226369896803
4208985NW,15,1,16,787,0,787,787,0.12612186663261182,69,1,68,67,0.9960026505349016
4208986CE,41,19,60,4889,2940,7829,1949,0.5618610693284617,99,69,91,22,-0.3345722986705185
4208986CW,7,8,15,54,1080,1134,-1026,-0.553736286971154,62,45,47,2,-0.9259389427618163
4208986SW,38,6,44,1916,1620,3536,296,-0.057998570995324725,76,42,75,33,-0.009320644420304698
4208987CE,39,15,54,2747,3900,6647,-1153,-0.6013601068871375,84,70,75,5,-0.8372339461481216
4208987CW,128,15,143,11963,1680,13643,10283,3.6870336297993846,102,64,100,36,0.07938435219338998
4208987NE,42,10,52,2596,960,3556,1636,0.44448897772450213,82,57,76,19,-0.42327729528421315
4208987NW,145,32,177,6049,5160,11209,889,0.16437091884859867,88,71,83,12,-0.6302556207161674
4208987SE,6,7,13,50,540,590,-490,-0.3527412674832232,71,56,47,-9,-1.25119059701203
4208988CE,175,15,190,3444,2610,6054,834,0.14374642990860576,101,76,97,21,-0.36414063087508336
4208988CW,10,11,21,75,300,375,-225,-0.2533687298632574,65,61,40,-21,-1.6060105834668088
4208988NE,31,14,45,1996,1590,3586,406,-0.016749593115338936,82,65,77,12,-0.6302556207161674
4208988NW,5,14,19,202,1140,1342,-938,-0.5207371046671653,65,62,28,-34,-1.9903989021261523
4209051CE,19,9,28,1141,1980,3121,-839,-0.4836130245751781,83,73,72,-1,-1.014643939375511
4209052CE,25,5,30,1200,1644,2844,-444,-0.3354916949152291,54,30,51,21,-0.36414063087508336
4209053CE,20,5,25,1132,1860,2992,-728,-0.44198905598719246,76,59,68,9,-0.718960617329862
4209054CE,22,7,29,1290,1500,2790,-210,-0.24774386924325936,68,58,65,7,-0.7780972817389918
4209055CE,15,6,21,1263,1320,2583,-57,-0.19037029091927912,64,54,56,2,-0.9259389427618163
4209055SW,5,1,6,50,0,50,50,-0.15024628516329294,39,2,37,35,0.04981601998882508
4209056CE,35,2,37,1513,135,1648,1378,0.34774137506053543,105,33,105,72,1.1438443115577261
4209056NE,2,4,6,0,214.8,214.8,-214.8,-0.24954382464165872,39,38,1,-37,-2.079103898739847
4209061CE,74,32,106,1523,2112,3635,-589,-0.3898653475752104,85,59,79,20,-0.39370896307964826
4209061CW,8,8,16,328,780,1108,-452,-0.3384916205792281,60,27,55,28,-0.15716230544312915
4209061SE,10,10,20,80,1560,1640,-1480,-0.7239820684030953,77,51,60,9,-0.718960617329862
4209061SW,2,1,3,0,120,120,-120,-0.213994705523271,8,6,3,-3,-1.0737806037846407
4209062CE,17,16,33,1181,1440,2621,-259,-0.26611841393525304,81,57,74,17,-0.48241395969334294
4209062NE,5,16,21,50,1680,1730,-1630,-0.7802306746030758,68,50,44,-6,-1.1624856003983355
4209063CE,22,7,29,1112,1740,2852,-628,-0.40448998518720536,58,38,54,16,-0.5119822918979079
4209063CW,5,5,10,50,0,50,50,-0.15024628516329294,34,5,31,26,-0.21629896985225894
4209063NW,1,4,5,80,0,80,80,-0.13899656392329682,17,4,14,10,-0.6893922851252972
4209064CE,14,8,22,1166,1170,2336,-4,-0.17049578339528595,65,55,56,1,-0.9555072749663812
4209064NW,9,7,16,317,0,317,317,-0.05012376612732744,38,7,36,29,-0.12759397323856425
4209065CE,16,14,30,1305,3750,5055,-2445,-1.0858481016229704,76,33,73,40,0.19765768101164954
4209066CE,15,8,23,676,1740,2416,-1064,-0.5679859338751491,82,62,77,15,-0.5415506241024727
4209066CW,15,3,18,169,0,169,169,-0.10562239091130832,60,4,59,55,0.6411826640801229
4209066NE,5,1,6,50,0,50,50,-0.15024628516329294,41,1,40,39,0.16808934880708465
4209066SE,6,1,7,50,0,50,50,-0.15024628516329294,43,1,42,41,0.22722601321621444
4209067CE,19,10,29,1678,1650,3328,28,-0.1584960807392901,98,75,88,13,-0.6006872885116025
4209067CW,5,1,6,50,0,50,50,-0.15024628516329294,55,1,55,54,0.611614331875558
